Data,H,|I|,Out-Acc,In-Acc,Sol-Time,Gap,ObjVal,# CB,User Cuts,Cuts/CB,CB-Time,INT-CB-Time,FRAC-CB-Time,CB-Eps,Model,Time Limit,Rand. State,% Fixed,Calibration,CC,Single Feature Use,Level Tree,Max Features,Super Feature
soybean-small_enc,5,23,0.875,1.0,0.43680787086486816,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,17,False
soybean-small_enc,5,23,0.875,1.0,0.49567699432373047,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,18,False
soybean-small_enc,5,23,0.875,1.0,0.3776888847351074,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,19,False
soybean-small_enc,5,23,0.875,1.0,0.37308692932128906,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,20,False
soybean-small_enc,5,23,0.875,1.0,0.3646869659423828,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,21,False
soybean-small_enc,5,23,0.875,1.0,0.34180307388305664,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,22,False
soybean-small_enc,5,23,0.875,1.0,0.3864250183105469,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,23,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.31777405738830566,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,24,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.34752583503723145,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,25,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.3077659606933594,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,26,False
soybean-small_enc,5,23,0.8333333333333334,1.0,0.6424369812011719,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,27,False
soybean-small_enc,5,23,0.7916666666666666,1.0,0.30708789825439453,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,28,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.28722214698791504,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,29,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.24977993965148926,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,30,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.2807919979095459,0.0,23.0,0,0,0,0,0,0,0,CUT1,3600,138,0,True,False,False,None,31,False
soybean-small_enc,5,23,0.5,0.6521739130434783,0.07451486587524414,0.0,15.0,0,0,0,0,0,0,0,CUT2,3600,138,0,False,False,False,None,1,False
